pair_index,geometry_stratum,C_img_signed,C_pe_signed,C_text_signed,A_img,A_pe,A_visual,in_V50,in_V25,G_PRE_POST
245,END|mild|2to4,0.0371026992798,0.0113567817025,0.0172021985054,0.0371026992798,0.0113567817025,0.46771037182,True,False,-0.00294955074787
246,START|mild|lt2,0.0602692961693,-0.0384625685401,0.0162606500089,0.0602692961693,0.0384625685401,0.804305283757,False,False,-0.00164541602135
247,START|mild|2to4,0.0292347669601,0.0381699942518,-0.0075174048543,0.0292347669601,0.0381699942518,0.643835616438,False,False,0.000572741031647
248,START|mild|2to4,0.0114869475365,0.0206169928424,-0.0102765411139,0.0114869475365,0.0206169928424,0.344422700587,True,True,-0.00138083100319
249,END|medium|2to4,0.0379924178123,-0.0237730215304,0.000635094940662,0.0379924178123,0.0237730215304,0.592954990215,False,False,0.00421874970198
250,START|medium|2to4,0.0160594582558,-0.0112833972089,0.0055815987289,0.0160594582558,0.0112833972089,0.291585127202,True,True,0.00346028804779
251,START|medium|2to4,0.024033665657,-0.0387796622235,0.0154983848333,0.024033665657,0.0387796622235,0.615459882583,False,False,-0.000871419906616
252,END|mild|lt2,-0.015520632267,-0.0253105778247,-0.00150031596422,0.015520632267,0.0253105778247,0.420743639922,False,False,0.0052307471633
253,START|medium|ge4,0.048888027668,0.037240475649,0.034976221621,0.048888027668,0.037240475649,0.753424657534,False,False,0.00140258669853
254,END|mild|2to4,1.84774398804e-05,-0.00923553644679,-0.00367158278823,1.84774398804e-05,0.00923553644679,0.102739726027,True,True,-0.000534296035767
255,END|mild|lt2,0.00399529933929,-0.0642864541151,-0.00692863017321,0.00399529933929,0.0642864541151,0.509784735812,False,False,0.000161483883858
256,END|mild|2to4,-0.00823885202408,0.0633889983874,0.0082063600421,0.00823885202408,0.0633889983874,0.559686888454,False,False,-0.00156588852406
257,START|mild|2to4,0.0102759003639,-0.000273881945759,-0.00257900357246,0.0102759003639,0.000273881945759,0.119373776908,True,True,-0.00246442109346
258,END|medium|2to4,0.0227522850037,0.0248933569528,-0.00757351517677,0.0227522850037,0.0248933569528,0.487279843444,True,False,0.00385285168886
259,END|mild|2to4,0.0671801567078,0.0254678886849,0.0219033583999,0.0671801567078,0.0254678886849,0.710371819961,False,False,0.000449538230896
260,END|mild|2to4,-0.0115646123886,-0.0331390476786,0.00191702693701,0.0115646123886,0.0331390476786,0.452054794521,True,False,-0.00148743391037
261,END|mild|2to4,0.0451794862747,0.0209469678812,0.00533761829138,0.0451794862747,0.0209469678812,0.608610567515,False,False,-0.00674091279507
262,END|strong|ge4,0.0382937192917,0.0623336329591,-0.0067048445344,0.0382937192917,0.0623336329591,0.816046966732,False,False,0.00701654702425
263,END|mild|2to4,0.0273303985596,0.0683127783705,0.0112957283854,0.0273303985596,0.0683127783705,0.746575342466,False,False,0.00388054549694
264,START|mild|lt2,0.0135568380356,-0.0223693244625,-0.00162839889526,0.0135568380356,0.0223693244625,0.377690802348,True,False,-0.000733196735382
265,END|mild|lt2,0.0301736593246,0.0227460644674,-0.01101815328,0.0301736593246,0.0227460644674,0.523483365949,False,False,0.00059275329113
266,START|mild|lt2,0.0200099349022,0.0074286791496,0.00658379495144,0.0200099349022,0.0074286791496,0.294520547945,True,False,5.05596399307e-05
267,END|strong|ge4,0.0749306678772,0.100886450848,-0.00595609098673,0.0749306678772,0.100886450848,0.960861056751,False,False,0.0202839523554
268,START|mild|2to4,0.0954855680466,0.0201238894369,-0.00681561976671,0.0954855680466,0.0201238894369,0.692759295499,False,False,0.00317950546741
269,START|strong|ge4,0.0680211186409,0.012122021988,-0.0335063710809,0.0680211186409,0.012122021988,0.584148727984,False,False,0.0153387933969
