pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
220,data/1_2024/shard-000477.tar,2280503,START,mild,27,79,106,362,-26.0,-0.000478625297546,-0.000442504882812,-0.000792637467384,0.00148946046829,0.000509053468704,-0.000319808721542,0.00101652741432,0.000478729605675,0.00149525702,0.00489144,True
221,data/1_2024/shard-000477.tar,2287503,START,mild,15,90,105,361,-37.5,-0.000646620988846,0.00304968655109,0.00244624167681,0.00730390101671,0.00392963737249,0.00421649962664,0.00704096257687,-0.000869609415531,0.00617135316133,0.00102029,True
222,data/1_2024/shard-000477.tar,2290375,START,mild,35,71,106,362,-18.0,0.00319735705853,0.00164784491062,0.0028377622366,0.00684168934822,0.00766517221928,0.00808210670948,-0.00237299501896,0.00077298283577,-0.00160001218319,0.00383129,True
223,data/1_2024/shard-000477.tar,2299503,END,mild,13,94,107,363,-40.5,0.00199280679226,0.00168024003506,0.00347205996513,0.00253051519394,0.00358997285366,0.00289230048656,-0.00137202441692,0.00248949229717,0.00111746788025,0.023448281,False
224,data/1_2024/shard-000477.tar,2310375,END,medium,13,140,153,409,-63.5,-0.00394273549318,0.0018517896533,0.00187223404646,0.00369906425476,0.00159096717834,0.00319630652666,0.0079026222229,-0.00158489495516,0.00631772726774,0.024748161,False
225,data/1_2024/shard-000477.tar,2312503,START,mild,6,100,106,362,-47.0,-0.00124783068895,0.00349869579077,0.00357735157013,0.00641702860594,0.00504381209612,0.00424351543188,0.00611974298954,0.0008789524436,0.00699869543314,0.0322752,False
226,data/1_2024/shard-000477.tar,2322375,END,medium,13,127,140,396,-57.0,-0.00126818567514,0.00276190787554,0.00282397121191,0.00889010727406,0.0106120109558,0.0077755972743,0.00230818986893,0.00289847701788,0.00520666688681,0.024831608,False
227,data/1_2024/shard-000477.tar,2325375,START,medium,13,114,127,383,-50.5,-0.00133271515369,0.000202476978302,0.00091490149498,-0.000265866518021,0.00101448595524,0.000937148928642,0.000254839658737,0.000789761543274,0.00104460120201,0.02448995,False
228,data/1_2024/shard-000477.tar,2333503,START,mild,5,68,73,329,-31.5,0.000846087932587,0.000491827726364,0.000927805900574,0.00248616933823,0.0033010840416,0.00279659032822,-0.00116917490959,0.000940471887589,-0.000228703022003,0.017674591,False
229,data/1_2024/shard-000477.tar,2344503,END,strong,54,157,211,467,-51.5,-0.00490625947714,0.00305353850126,0.00290045142174,-0.00136122852564,0.00118914991617,0.000369690358639,0.00540941953659,0.000666372478008,0.0060757920146,0.01730055,False
230,data/1_2024/shard-000477.tar,2345375,START,mild,26,59,85,341,-16.5,0.00128416717052,0.000950388610363,0.000660538673401,-0.000580534338951,-0.000555142760277,-0.000221058726311,-0.000359170138836,-0.000623933970928,-0.000983104109764,0.001998626,True
231,data/1_2024/shard-000477.tar,2347503,END,mild,31,70,101,357,-19.5,0.00121085345745,0.00019958615303,0.000686682760715,-0.000548757612705,-0.000270299613476,0.000128887593746,-0.00128972530365,8.79094004631e-05,-0.00120181590319,0.008417927,True
232,data/1_2024/shard-000477.tar,2353375,START,mild,0,105,105,361,-52.5,-0.00209943205118,0.00196745246649,0.00101199001074,0.0115470513701,0.00967171043158,0.00890196859837,0.00594222545624,-0.00018572062254,0.0057565048337,0.022377081,False
233,data/1_2024/shard-000477.tar,2376375,START,medium,14,133,147,403,-59.5,-0.00125505775213,0.00588043034077,0.00685236603022,0.0150542855263,0.0157414898276,0.0133697912097,0.00644828379154,0.00334363430738,0.00979191809893,0.027677305,False
234,data/1_2024/shard-000477.tar,2377375,START,mild,1,107,108,364,-53.0,0.00526031851768,0.0100053995848,0.00689865648746,0.00207664072514,0.00190833210945,0.00205174088478,0.00491338968277,-0.00325015187263,0.00166323781013,0.019996524,False
